source,region,name,rating_raw,review_count_raw,location,price_range,categories,snippet
Yelp,Donegal,Tasty Bakery,4.8,(11 reviews),Murrysville,,"“I'm so happy that this amazingcustom cakebakery is nearby! We will definitely order from them...”more, Desserts, Custom Cakes, Cupcakes",“I'm so happy that this amazing custom cake bakery is nearby! We will definitely order from them...” more
Yelp,Donegal,The Brush Valley Bistro,5.0,(1 review),Brush Valley,,"“I have been wanting to stop here for quite some time. I am a bit of a connoisseur for coffee and quick bites because I am a registered nurse working 2…”more, Bakeries, Juice Bar & Smoothies, Cupcakes",“I have been wanting to stop here for quite some time. I am a bit of a connoisseur for coffee and quick bites because I am a registered nurse working 2…” more
Yelp,Donegal,Peinettis  Bakery,4.3,(6 reviews),Jeannette,,"“Excellentbaked goods... my favorite is the huge pecan rolls !!! Very nostalgic feel to the shop...”more, Bakeries, Coffee & Tea Shops, Desserts",“Excellent baked goods ... my favorite is the huge pecan rolls !!! Very nostalgic feel to the shop...” more
Yelp,Donegal,SweeT b Sweet shop,4.9,(18 reviews),Bakerstown,$,"“The staff are delightful and thebaked goodsare awesome. They have a great variety, the recipes are...”more, Desserts, Custom Cakes, Cupcakes","“The staff are delightful and the baked goods are awesome. They have a great variety, the recipes are...” more"
Yelp,Donegal,Vibo's Bakery,5.0,(17 reviews),Brackenridge,$,"“Tinybakerybut they make the best paczki I've had. The people who work there are super friendly.”more, Bakeries",“Tiny bakery but they make the best paczki I've had. The people who work there are super friendly.” more
Yelp,Donegal,Life's a Treat,5.0,(3 reviews),Johnstown,,"“I've had brownies and chocolate gobs-they we're both EXCELLENT!!! I definitely recommend thisbakery!”more, Bakeries, Custom Cakes, Cupcakes",“I've had brownies and chocolate gobs-they we're both EXCELLENT!!! I definitely recommend this bakery !” more
Yelp,Donegal,Britta's Sweet Treats,5.0,(1 review),Ruffs Dale,,"“that when my daughter in law's birthday rolled around, I was excited to try acustom cake.”more, Desserts, Custom Cakes, Cupcakes","“that when my daughter in law's birthday rolled around, I was excited to try a custom cake .” more"
Yelp,Donegal,The Cheesecake Connection,4.3,(7 reviews),Youngwood,,"“Stopped in hoping to pick up a quick to go order! Wonderfulbakery!! Delicious mini cheesecakes!!”more, Bakeries",“Stopped in hoping to pick up a quick to go order! Wonderful bakery !! Delicious mini cheesecakes!!” more
Yelp,Donegal,Betty Mae's Bakery,4.5,(8 reviews),Masontown,,"“Serving sizes are are generous and good deal for the prices. Thebaked goodsare delish.”more, Coffee & Tea Shops, Bakeries, Breakfast & Brunch",“Serving sizes are are generous and good deal for the prices. The baked goods are delish.” more
Yelp,Donegal,DeLallo Italian Marketplace,4.2,(152 reviews),Jeannette,$$,"“Thefreshly bakedbread is always a must have, and then you round the corner to their in-house...”more, Italian, Supermarkets, Specialty Food","“The freshly baked bread is always a must have, and then you round the corner to their in-house...” more"
